,region,product,quantity
782,West Midlands,olive oil spread,9113540
783,West Midlands,fresh turkey steak,9109824
784,West Midlands,chocolate twist,9107615
785,West Midlands,oxford shirt,9107457
786,West Midlands,samsung washing machine,9106895
787,West Midlands,dell inspiron laptop,9104342
788,West Midlands,cotton tie,9102481
789,West Midlands,apple macbook pro mid 2009,9102386
790,West Midlands,linen shirt,9100716
791,West Midlands,british fresh chicken brest fillets,9098693
792,West Midlands,raspberries,9098406
793,West Midlands,Slightly salted butter,9098342
794,West Midlands,Brocolli loose,9097315
795,West Midlands,halo combat evolved,9095701
796,West Midlands,fresh whole chicken,9095368
797,West Midlands,Plain Greek yoghurt,9094750
798,West Midlands,pain au raisins,9094290
799,West Midlands,21 day mature rump steak,9093515
800,West Midlands,sea bass fillets,9093130
801,West Midlands,play station 3,9092706
802,West Midlands,pain au chocolate,9092421
803,West Midlands,free range large eggs x12,9091331
804,West Midlands,apple macbook air mid 2009,9089215
805,West Midlands,brenton t-shirt,9088692
806,West Midlands,garlic,9087756
807,West Midlands,Mixed pepper,9084852
808,West Midlands,beef mince,9084042
809,West Midlands,vernison sausages,9083364
810,West Midlands,shortbread,9083327
811,West Midlands,Organic mILK,9082590
812,West Midlands,Sweet potatoes loose,9081152
813,West Midlands,unsalted butter,9079766
814,West Midlands,Soy Milk,9079294
815,West Midlands,flapjack,9079128
816,West Midlands,beans,9078806
817,West Midlands,chocolate fudge cake,9077179
818,West Midlands,dyson tower fan,9073359
819,West Midlands,Blueberry yoghurt,9073109
820,West Midlands,pokemon yellow,9072923
821,West Midlands,gaming keyboard,9072002
822,West Midlands,custard doughnut,9071030
823,West Midlands,diced vernison,9070698
824,West Midlands,hp dv 2000 laptop,9070559
825,West Midlands,British carrots loose,9070459
826,West Midlands,salmon fillets,9066463
827,West Midlands,pink blazers,9066305
828,West Midlands,pokemon gold,9066238
829,West Midlands,British baking potatoes loose,9066111
830,West Midlands,aubergine,9063227
831,West Midlands,corned beef,9061397
832,West Midlands,celery,9060514
833,West Midlands,oxford shoes,9059361
834,West Midlands,cheese cake,9059139
835,West Midlands,gameboy color,9056636
836,West Midlands,vanilla yoghurt,9052157
837,West Midlands,dyson washing machine,9048875
838,West Midlands,courgette loose,9047033
839,West Midlands,x-box 360,9043872
840,West Midlands,gameboy advance,9043773
841,West Midlands,wristwatch,9042391
842,West Midlands,corn,9039991
843,West Midlands,white shirt,9030909
844,West Midlands,denim jacket,9030191
845,West Midlands,grey cardigan,9029829
846,West Midlands,21 day mature sirlion steak,9022006
847,West Midlands,british parsnips loose,9019163
848,West Midlands,Lemon,9019143
849,West Midlands,denim jeams,9012915
850,West Midlands,jam doughnut,9012910
851,West Midlands,chicken sausages,9012904
852,West Midlands,bosch washing machine,9011251
853,West Midlands,silk scarf,9010311
854,West Midlands,red velvet cake,9007094
855,West Midlands,silk tie,9005880
856,West Midlands,pokemon red,9000851
857,West Midlands,blue stilton cheese,9000741
858,West Midlands,lg washing machine,8998903
859,West Midlands,rice,8993138
860,West Midlands,millionaire square,8987722
861,West Midlands,croisant ,8987545
862,West Midlands,fresh whole turkey,8983000
863,West Midlands,hp envy laptop,8982786
864,West Midlands,Fairtrade Bananas Loose,8979686
865,West Midlands,baby potatoes,8975209
866,West Midlands,almond croisant,8971355
867,West Midlands,organic raspberry yoghurt,8957323
868,South West England,grey blazers,7016070
869,South West England,skimmed milk,6998642
870,South West England,croisant ,6993760
871,South West England,oxford shoes,6986203
872,South West England,Sweet potatoes loose,6982015
873,South West England,Almond milk,6981352
874,South West England,unsalted butter,6978190
875,South West England,hp envy laptop,6978020
876,South West England,mature cheddar cheese,6977709
877,South West England,pokemon yellow,6976199
878,South West England,Oats Milk,6970035
879,South West England,aubergine,6966002
880,South West England,organic soured cream,6964848
881,South West England,chocolate twist,6964606
882,South West England,dyson washing machine,6964222
883,South West England,british parsnips loose,6963786
884,South West England,apple macbook pro mid 2009,6961389
885,South West England,vernison sausages,6960795
886,South West England,British baking potatoes loose,6959480
887,South West England,rice,6956188
888,South West England,fresh whole turkey,6955352
889,South West England,Blueberry yoghurt,6954965
890,South West England,wellington boots,6954475
891,South West England,diced chicken breast,6953499
892,South West England,sea bass fillets,6946131
893,South West England,gameboy advance,6942942
894,South West England,jam doughnut,6942261
895,South West England,shortbread,6940682
896,South West England,Fairtrade Bananas Loose,6936025
897,South West England,21 day mature rump steak,6933064
898,South West England,millionaire square,6932525
899,South West England,fresh turkey steak,6931167
900,South West England,lg washing machine,6930640
901,South West England,Lemon,6929545
902,South West England,Slightly salted butter,6929035
903,South West England,x-box 360,6929025
904,South West England,organic raspberry yoghurt,6926515
905,South West England,almond croisant,6925809
906,South West England,white shirt,6923390
907,South West England,free range large eggs x12,6922980
908,South West England,baby potatoes,6922274
909,South West England,pain au raisins,6922138
910,South West England,salmon fillets,6920789
911,South West England,linen shirt,6918486
912,South West England,fine beans,6916710
913,South West England,vanilla yoghurt,6916401
914,South West England,dyson vacuum cleaner,6916307
915,South West England,semi skimmed milk,6915923
916,South West England,bosch washing machine,6915911
917,South West England,samsung washing machine,6915591
918,South West England,british bramley cooking apples,6913809
919,South West England,goat cheese,6910885
920,South West England,hp dv 3000 laptop,6910478
921,South West England,minecraft game - xbox,6910282
922,South West England,oxford shirt,6909658
923,South West England,chicken sausages,6909221
924,South West England,Organic Kefir,6906834
925,South West England,Red pepper,6906137
926,South West England,halo combat evolved,6905190
927,South West England,denim jacket,6904624
928,South West England,dyson tower fan,6904398
929,South West England,apple macbook air mid 2009,6902035
930,South West England,pain au chocolate,6901658
931,South West England,dual shock controller,6901396
932,South West England,blue stilton cheese,6901107
933,South West England,macaron - x3,6900964
934,South West England,pokemon red,6897053
935,South West England,British carrots loose,6896549
936,South West England,courgette loose,6896233
937,South West England,Soy Milk,6894697
938,South West England,cod fillets,6893574
939,South West England,raspberries,6891459
940,South West England,pokemon gold,6890726
941,South West England,custard doughnut,6887458
942,South West England,silk tie,6884940
943,South West England,beans,6884932
944,South West England,diced vernison,6884152
945,South West England,plastic sunshades,6883066
946,South West England,Spring onions bunch,6878395
947,South West England,21 day mature ribeye steak,6877205
948,South West England,silk scarf,6872955
949,South West England,Onions Loose,6871794
950,South West England,brenton jumper,6871464
951,South West England,grey cardigan,6869982
952,South West England,wristwatch,6868231
953,South West England,god of war 2,6868108
954,South West England,pink blazers,6866542
955,South West England,cotton tie,6865485
956,South West England,Mixed pepper,6865301
957,South West England,Plain Greek yoghurt,6864218
958,South West England,21 day mature sirlion steak,6859455
959,South West England,gaming keyboard,6857938
960,South West England,Organic mILK,6854038
961,South West England,pokemon blue,6853096
962,South West England,beef sausages,6853016
963,South West England,fresh whole chicken,6852892
964,South West England,denim jeams,6849075
965,South West England,british fresh chicken brest fillets,6848318
966,South West England,flapjack,6847913
967,South West England,beef mince,6845785
968,South West England,play station 3,6845099
969,South West England,easy peeler loose,6844633
970,South West England,classic bowtie,6844568
971,South West England,large king prawns,6844498
972,South West England,gaming mouse,6841823
973,South West England,british fresh chicken thigh fillets,6840007
974,South West England,garlic,6839267
975,South West England,brenton t-shirt,6837466
976,South West England,dell inspiron laptop,6836049
977,South West England,chocolate fudge cake,6835307
978,South West England,linen trousers,6834555
979,South West England,mild cheddar cheese,6834198
980,South West England,cheese cake,6833103
981,South West England,olive oil spread,6832420
982,South West England,Brocolli loose,6829301
983,South West England,hp dv 2000 laptop,6826780
984,South West England,gameboy color,6816150
985,South West England,red velvet cake,6810909
986,South West England,celery,6808784
987,South West England,hotpoint washing machine,6804358
988,South West England,corn,6801859
989,South West England,scottish salmon,6788782
990,South West England,corned beef,6782128
991,South West England,british fresh turkey mince,6767213
992,North West England,Lemon,6110168
993,North West England,red velvet cake,6103980
994,North West England,british bramley cooking apples,6100020
995,North West England,rice,6099383
996,North West England,beef sausages,6098358
997,North West England,gameboy advance,6088878
998,North West England,Plain Greek yoghurt,6088683
999,North West England,dell inspiron laptop,6088267
1000,North West England,goat cheese,6087197
1001,North West England,diced vernison,6086526
1002,North West England,organic raspberry yoghurt,6082949
1003,North West England,beans,6081324
1004,North West England,dyson vacuum cleaner,6080370
1005,North West England,grey cardigan,6078815
1006,North West England,macaron - x3,6078700
1007,North West England,halo combat evolved,6076415
1008,North West England,pokemon red,6075860
1009,North West England,white shirt,6075346
1010,North West England,shortbread,6074023
1011,North West England,custard doughnut,6072508
1012,North West England,wellington boots,6071437
1013,North West England,wristwatch,6071358
1014,North West England,pokemon yellow,6069159
1015,North West England,free range large eggs x12,6068797
1016,North West England,vernison sausages,6067385
1017,North West England,hotpoint washing machine,6067080
1018,North West England,pokemon blue,6064920
1019,North West England,brenton jumper,6062345
1020,North West England,Organic Kefir,6062162
1021,North West England,oxford shirt,6062138
1022,North West England,Mixed pepper,6061612
1023,North West England,dyson tower fan,6061266
1024,North West England,Sweet potatoes loose,6059467
1025,North West England,olive oil spread,6057526
1026,North West England,british parsnips loose,6057501
1027,North West England,minecraft game - xbox,6055638
1028,North West England,celery,6054570
1029,North West England,denim jeams,6054127
1030,North West England,hp envy laptop,6053052
1031,North West England,raspberries,6051326
1032,North West England,Red pepper,6050835
1033,North West England,easy peeler loose,6050636
1034,North West England,skimmed milk,6050581
1035,North West England,Blueberry yoghurt,6050217
1036,North West England,Brocolli loose,6048377
1037,North West England,British carrots loose,6048284
1038,North West England,play station 3,6047834
1039,North West England,chocolate twist,6046784
1040,North West England,millionaire square,6046288
1041,North West England,Spring onions bunch,6044960
1042,North West England,Slightly salted butter,6044731
1043,North West England,dual shock controller,6043238
1044,North West England,corn,6042407
1045,North West England,linen trousers,6038601
1046,North West England,x-box 360,6038524
1047,North West England,Fairtrade Bananas Loose,6038260
1048,North West England,semi skimmed milk,6037889
1049,North West England,croisant ,6037876
1050,North West England,god of war 2,6037678
1051,North West England,gaming keyboard,6036289
1052,North West England,pain au chocolate,6035342
1053,North West England,gaming mouse,6035149
1054,North West England,large king prawns,6034936
1055,North West England,british fresh turkey mince,6032166
1056,North West England,British baking potatoes loose,6032146
1057,North West England,hp dv 3000 laptop,6031362
1058,North West England,british fresh chicken brest fillets,6031175
1059,North West England,samsung washing machine,6030268
1060,North West England,bosch washing machine,6029855
1061,North West England,aubergine,6028312
1062,North West England,corned beef,6028078
1063,North West England,oxford shoes,6027938
1064,North West England,mature cheddar cheese,6027533
1065,North West England,21 day mature ribeye steak,6027515
1066,North West England,silk scarf,6027075
1067,North West England,salmon fillets,6027056
1068,North West England,pink blazers,6026755
1069,North West England,cod fillets,6026628
1070,North West England,pokemon gold,6026256
1071,North West England,Organic mILK,6026071
1072,North West England,flapjack,6025907
1073,North West England,garlic,6025315
1074,North West England,unsalted butter,6025312
1075,North West England,almond croisant,6024291
1076,North West England,Almond milk,6024241
1077,North West England,diced chicken breast,6022411
1078,North West England,beef mince,6021297
1079,North West England,21 day mature sirlion steak,6020748
1080,North West England,fresh whole chicken,6020255
1081,North West England,brenton t-shirt,6019792
1082,North West England,21 day mature rump steak,6018757
1083,North West England,hp dv 2000 laptop,6018565
1084,North West England,linen shirt,6018204
1085,North West England,dyson washing machine,6018088
1086,North West England,gameboy color,6016257
1087,North West England,silk tie,6015958
1088,North West England,plastic sunshades,6015861
1089,North West England,Onions Loose,6015255
1090,North West England,cotton tie,6014699
1091,North West England,scottish salmon,6013848
1092,North West England,chicken sausages,6013419
1093,North West England,vanilla yoghurt,6013303
1094,North West England,apple macbook air mid 2009,6011456
1095,North West England,fresh whole turkey,6011400
1096,North West England,cheese cake,6009482
1097,North West England,baby potatoes,6006894
1098,North West England,pain au raisins,6006766
1099,North West England,sea bass fillets,6006045
1100,North West England,courgette loose,6004608
1101,North West England,grey blazers,6002303
1102,North West England,Soy Milk,6001447
1103,North West England,organic soured cream,5998799
1104,North West England,apple macbook pro mid 2009,5997005
1105,North West England,jam doughnut,5994527
1106,North West England,fine beans,5992208
1107,North West England,classic bowtie,5991749
1108,North West England,fresh turkey steak,5991700
1109,North West England,lg washing machine,5989245
1110,North West England,denim jacket,5988492
1111,North West England,british fresh chicken thigh fillets,5978848
1112,North West England,Oats Milk,5974849
1113,North West England,chocolate fudge cake,5971105
1114,North West England,blue stilton cheese,5969226
1115,North West England,mild cheddar cheese,5961542
1116,Yorkshire and the Humber,classic bowtie,4897404
1117,Yorkshire and the Humber,corned beef,4876924
1118,Yorkshire and the Humber,beef mince,4873793
1119,Yorkshire and the Humber,chocolate fudge cake,4869883
1120,Yorkshire and the Humber,cheese cake,4866138
1121,Yorkshire and the Humber,diced vernison,4866024
1122,Yorkshire and the Humber,Fairtrade Bananas Loose,4865151
1123,Yorkshire and the Humber,21 day mature rump steak,4862569
1124,Yorkshire and the Humber,sea bass fillets,4857552
1125,Yorkshire and the Humber,fresh whole turkey,4856582
1126,Yorkshire and the Humber,blue stilton cheese,4853383
1127,Yorkshire and the Humber,british fresh turkey mince,4849841
1128,Yorkshire and the Humber,croisant ,4849608
1129,Yorkshire and the Humber,British baking potatoes loose,4849021
1130,Yorkshire and the Humber,cod fillets,4848363
1131,Yorkshire and the Humber,plastic sunshades,4847859
1132,Yorkshire and the Humber,garlic,4845195
1133,Yorkshire and the Humber,almond croisant,4844803
1134,Yorkshire and the Humber,mild cheddar cheese,4844239
1135,Yorkshire and the Humber,hp dv 3000 laptop,4844118
1136,Yorkshire and the Humber,free range large eggs x12,4842451
1137,Yorkshire and the Humber,British carrots loose,4841877
1138,Yorkshire and the Humber,gaming mouse,4840697
1139,Yorkshire and the Humber,lg washing machine,4838838
1140,Yorkshire and the Humber,corn,4838827
1141,Yorkshire and the Humber,god of war 2,4838501
1142,Yorkshire and the Humber,apple macbook pro mid 2009,4838189
1143,Yorkshire and the Humber,gameboy color,4837103
1144,Yorkshire and the Humber,gameboy advance,4835278
1145,Yorkshire and the Humber,celery,4834623
1146,Yorkshire and the Humber,bosch washing machine,4833331
1147,Yorkshire and the Humber,Plain Greek yoghurt,4833085
1148,Yorkshire and the Humber,cotton tie,4831581
1149,Yorkshire and the Humber,Organic mILK,4830049
1150,Yorkshire and the Humber,british fresh chicken brest fillets,4828777
1151,Yorkshire and the Humber,Slightly salted butter,4828023
1152,Yorkshire and the Humber,denim jeams,4827656
1153,Yorkshire and the Humber,minecraft game - xbox,4827511
1154,Yorkshire and the Humber,beef sausages,4827061
1155,Yorkshire and the Humber,organic raspberry yoghurt,4825975
1156,Yorkshire and the Humber,Onions Loose,4825854
1157,Yorkshire and the Humber,play station 3,4825181
1158,Yorkshire and the Humber,white shirt,4824218
1159,Yorkshire and the Humber,scottish salmon,4823899
1160,Yorkshire and the Humber,raspberries,4822995
1161,Yorkshire and the Humber,gaming keyboard,4822912
1162,Yorkshire and the Humber,hp dv 2000 laptop,4822655
1163,Yorkshire and the Humber,wristwatch,4821933
1164,Yorkshire and the Humber,rice,4821714
1165,Yorkshire and the Humber,pain au raisins,4821079
1166,Yorkshire and the Humber,large king prawns,4820902
1167,Yorkshire and the Humber,pain au chocolate,4819658
1168,Yorkshire and the Humber,semi skimmed milk,4819331
1169,Yorkshire and the Humber,hotpoint washing machine,4819294
1170,Yorkshire and the Humber,red velvet cake,4817283
1171,Yorkshire and the Humber,Lemon,4816934
1172,Yorkshire and the Humber,dell inspiron laptop,4814812
1173,Yorkshire and the Humber,beans,4814630
1174,Yorkshire and the Humber,grey cardigan,4814360
1175,Yorkshire and the Humber,pokemon yellow,4813812
1176,Yorkshire and the Humber,vanilla yoghurt,4813811
1177,Yorkshire and the Humber,pokemon blue,4813119
1178,Yorkshire and the Humber,pokemon red,4812859
1179,Yorkshire and the Humber,courgette loose,4812376
1180,Yorkshire and the Humber,Organic Kefir,4811863
1181,Yorkshire and the Humber,unsalted butter,4811666
1182,Yorkshire and the Humber,dyson washing machine,4811453
1183,Yorkshire and the Humber,Oats Milk,4810780
1184,Yorkshire and the Humber,pink blazers,4810449
1185,Yorkshire and the Humber,fresh turkey steak,4810405
1186,Yorkshire and the Humber,Soy Milk,4810324
1187,Yorkshire and the Humber,21 day mature sirlion steak,4809038
1188,Yorkshire and the Humber,pokemon gold,4808864
1189,Yorkshire and the Humber,Brocolli loose,4808741
1190,Yorkshire and the Humber,olive oil spread,4808226
1191,Yorkshire and the Humber,british fresh chicken thigh fillets,4807358
1192,Yorkshire and the Humber,oxford shirt,4806300
1193,Yorkshire and the Humber,linen shirt,4805663
1194,Yorkshire and the Humber,Almond milk,4802167
1195,Yorkshire and the Humber,21 day mature ribeye steak,4802078
1196,Yorkshire and the Humber,Mixed pepper,4801827
1197,Yorkshire and the Humber,grey blazers,4801655
1198,Yorkshire and the Humber,aubergine,4801588
1199,Yorkshire and the Humber,halo combat evolved,4801057
1200,Yorkshire and the Humber,dyson vacuum cleaner,4800769
1201,Yorkshire and the Humber,samsung washing machine,4800659
1202,Yorkshire and the Humber,baby potatoes,4799921
1203,Yorkshire and the Humber,chicken sausages,4799238
1204,Yorkshire and the Humber,brenton jumper,4798965
1205,Yorkshire and the Humber,salmon fillets,4798794
1206,Yorkshire and the Humber,easy peeler loose,4797748
1207,Yorkshire and the Humber,british bramley cooking apples,4796837
1208,Yorkshire and the Humber,diced chicken breast,4794585
1209,Yorkshire and the Humber,shortbread,4791755
1210,Yorkshire and the Humber,linen trousers,4791636
1211,Yorkshire and the Humber,goat cheese,4790478
1212,Yorkshire and the Humber,organic soured cream,4789989
1213,Yorkshire and the Humber,denim jacket,4789584
1214,Yorkshire and the Humber,custard doughnut,4788603
1215,Yorkshire and the Humber,jam doughnut,4788560
1216,Yorkshire and the Humber,x-box 360,4788260
1217,Yorkshire and the Humber,chocolate twist,4786251
1218,Yorkshire and the Humber,dyson tower fan,4785067
1219,Yorkshire and the Humber,hp envy laptop,4784165
1220,Yorkshire and the Humber,Blueberry yoghurt,4782642
1221,Yorkshire and the Humber,Spring onions bunch,4782548
1222,Yorkshire and the Humber,apple macbook air mid 2009,4781355
1223,Yorkshire and the Humber,british parsnips loose,4776327
1224,Yorkshire and the Humber,fresh whole chicken,4775999
1225,Yorkshire and the Humber,brenton t-shirt,4774504
1226,Yorkshire and the Humber,wellington boots,4774177
1227,Yorkshire and the Humber,mature cheddar cheese,4773953
1228,Yorkshire and the Humber,vernison sausages,4771681
1229,Yorkshire and the Humber,fine beans,4770732
1230,Yorkshire and the Humber,millionaire square,4770408
1231,Yorkshire and the Humber,flapjack,4770076
1232,Yorkshire and the Humber,macaron - x3,4769294
1233,Yorkshire and the Humber,Red pepper,4769058
1234,Yorkshire and the Humber,Sweet potatoes loose,4768377
1235,Yorkshire and the Humber,skimmed milk,4768167
1236,Yorkshire and the Humber,silk scarf,4766241
1237,Yorkshire and the Humber,dual shock controller,4764146
1238,Yorkshire and the Humber,oxford shoes,4761882
1239,Yorkshire and the Humber,silk tie,4748848
1240,Northern Ireland,diced chicken breast,3744391
1241,Northern Ireland,x-box 360,3729560
1242,Northern Ireland,Blueberry yoghurt,3728549
1243,Northern Ireland,minecraft game - xbox,3725780
1244,Northern Ireland,wristwatch,3723041
1245,Northern Ireland,free range large eggs x12,3721964
1246,Northern Ireland,denim jacket,3718334
1247,Northern Ireland,beans,3717502
1248,Northern Ireland,plastic sunshades,3717188
1249,Northern Ireland,denim jeams,3716466
1250,Northern Ireland,gameboy advance,3716282
1251,Northern Ireland,apple macbook air mid 2009,3716182
1252,Northern Ireland,british parsnips loose,3715928
1253,Northern Ireland,flapjack,3713924
1254,Northern Ireland,bosch washing machine,3710731
1255,Northern Ireland,courgette loose,3710232
1256,Northern Ireland,diced vernison,3709704
1257,Northern Ireland,garlic,3709384
1258,Northern Ireland,skimmed milk,3707059
1259,Northern Ireland,fresh whole chicken,3706329
1260,Northern Ireland,british bramley cooking apples,3704079
1261,Northern Ireland,21 day mature ribeye steak,3703979
1262,Northern Ireland,vernison sausages,3703506
1263,Northern Ireland,hotpoint washing machine,3703343
1264,Northern Ireland,fresh turkey steak,3703243
1265,Northern Ireland,brenton t-shirt,3702388
1266,Northern Ireland,gameboy color,3701906
1267,Northern Ireland,oxford shirt,3700511
1268,Northern Ireland,Organic Kefir,3699962
1269,Northern Ireland,pink blazers,3698177
1270,Northern Ireland,linen trousers,3697773
1271,Northern Ireland,pokemon blue,3694311
1272,Northern Ireland,Onions Loose,3694103
1273,Northern Ireland,halo combat evolved,3694024
1274,Northern Ireland,almond croisant,3693669
1275,Northern Ireland,fine beans,3693560
1276,Northern Ireland,celery,3693546
1277,Northern Ireland,grey blazers,3693096
1278,Northern Ireland,21 day mature rump steak,3691154
1279,Northern Ireland,easy peeler loose,3691071
1280,Northern Ireland,gaming keyboard,3689441
1281,Northern Ireland,hp dv 3000 laptop,3687745
1282,Northern Ireland,chicken sausages,3687244
1283,Northern Ireland,Organic mILK,3686794
1284,Northern Ireland,salmon fillets,3686719
1285,Northern Ireland,british fresh chicken brest fillets,3686537
1286,Northern Ireland,hp dv 2000 laptop,3685953
1287,Northern Ireland,dual shock controller,3685157
1288,Northern Ireland,silk scarf,3685003
1289,Northern Ireland,fresh whole turkey,3684402
1290,Northern Ireland,mild cheddar cheese,3684049
1291,Northern Ireland,Slightly salted butter,3683279
1292,Northern Ireland,dyson tower fan,3682190
1293,Northern Ireland,croisant ,3681829
1294,Northern Ireland,Red pepper,3681261
1295,Northern Ireland,dell inspiron laptop,3680651
1296,Northern Ireland,olive oil spread,3680534
1297,Northern Ireland,corn,3680226
1298,Northern Ireland,red velvet cake,3679952
1299,Northern Ireland,chocolate fudge cake,3679921
1300,Northern Ireland,raspberries,3679904
1301,Northern Ireland,Mixed pepper,3679854
1302,Northern Ireland,hp envy laptop,3679827
1303,Northern Ireland,organic soured cream,3679249
1304,Northern Ireland,dyson vacuum cleaner,3678042
1305,Northern Ireland,vanilla yoghurt,3677994
1306,Northern Ireland,god of war 2,3677278
1307,Northern Ireland,semi skimmed milk,3677210
1308,Northern Ireland,wellington boots,3677018
1309,Northern Ireland,classic bowtie,3675118
1310,Northern Ireland,gaming mouse,3674748
1311,Northern Ireland,mature cheddar cheese,3673886
1312,Northern Ireland,white shirt,3673174
1313,Northern Ireland,Plain Greek yoghurt,3673059
1314,Northern Ireland,oxford shoes,3672738
1315,Northern Ireland,jam doughnut,3672431
1316,Northern Ireland,Soy Milk,3671665
1317,Northern Ireland,dyson washing machine,3671119
1318,Northern Ireland,pokemon red,3669683
1319,Northern Ireland,custard doughnut,3669489
1320,Northern Ireland,pain au chocolate,3668764
1321,Northern Ireland,Brocolli loose,3668212
1322,Northern Ireland,apple macbook pro mid 2009,3668049
1323,Northern Ireland,pain au raisins,3667373
1324,Northern Ireland,Sweet potatoes loose,3666880
1325,Northern Ireland,British carrots loose,3666625
1326,Northern Ireland,scottish salmon,3666121
1327,Northern Ireland,shortbread,3666088
1328,Northern Ireland,linen shirt,3665834
1329,Northern Ireland,cod fillets,3665586
1330,Northern Ireland,silk tie,3665050
1331,Northern Ireland,british fresh chicken thigh fillets,3664885
1332,Northern Ireland,sea bass fillets,3662593
1333,Northern Ireland,goat cheese,3662160
1334,Northern Ireland,rice,3661788
1335,Northern Ireland,beef mince,3658486
1336,Northern Ireland,British baking potatoes loose,3657567
1337,Northern Ireland,Spring onions bunch,3657081
1338,Northern Ireland,organic raspberry yoghurt,3656507
1339,Northern Ireland,samsung washing machine,3656248
1340,Northern Ireland,Fairtrade Bananas Loose,3656144
1341,Northern Ireland,blue stilton cheese,3654016
1342,Northern Ireland,baby potatoes,3652618
1343,Northern Ireland,cotton tie,3652021
1344,Northern Ireland,chocolate twist,3651622
1345,Northern Ireland,cheese cake,3651020
1346,Northern Ireland,grey cardigan,3649733
1347,Northern Ireland,beef sausages,3649251
1348,Northern Ireland,21 day mature sirlion steak,3648713
1349,Northern Ireland,Almond milk,3648223
1350,Northern Ireland,lg washing machine,3648038
1351,Northern Ireland,pokemon gold,3647849
1352,Northern Ireland,Oats Milk,3646609
1353,Northern Ireland,millionaire square,3646355
1354,Northern Ireland,british fresh turkey mince,3644650
1355,Northern Ireland,pokemon yellow,3644602
1356,Northern Ireland,aubergine,3644126
1357,Northern Ireland,large king prawns,3643415
1358,Northern Ireland,play station 3,3639966
1359,Northern Ireland,macaron - x3,3639502
1360,Northern Ireland,brenton jumper,3637510
1361,Northern Ireland,unsalted butter,3633675
1362,Northern Ireland,corned beef,3629545
1363,Northern Ireland,Lemon,3619601
1364,North East England,pokemon blue,2852042
1365,North East England,blue stilton cheese,2844599
1366,North East England,beef sausages,2840600
1367,North East England,semi skimmed milk,2836510
1368,North East England,corned beef,2835077
1369,North East England,dyson washing machine,2833768
1370,North East England,Mixed pepper,2833477
1371,North East England,easy peeler loose,2833474
1372,North East England,cheese cake,2833258
1373,North East England,beans,2829238
1374,North East England,silk tie,2826499
1375,North East England,large king prawns,2824974
1376,North East England,21 day mature ribeye steak,2824152
1377,North East England,shortbread,2823277
1378,North East England,white shirt,2822408
1379,North East England,brenton jumper,2822063
1380,North East England,bosch washing machine,2821873
1381,North East England,pokemon red,2820803
1382,North East England,21 day mature rump steak,2820621
1383,North East England,pink blazers,2817193
1384,North East England,diced vernison,2814572
1385,North East England,British baking potatoes loose,2814387
1386,North East England,gameboy color,2813478
1387,North East England,Almond milk,2813465
1388,North East England,organic raspberry yoghurt,2813389
1389,North East England,almond croisant,2812525
1390,North East England,baby potatoes,2811484
1391,North East England,denim jeams,2811253
1392,North East England,goat cheese,2810336
1393,North East England,oxford shoes,2809296
1394,North East England,oxford shirt,2809294
1395,North East England,plastic sunshades,2807521
1396,North East England,scottish salmon,2806886
1397,North East England,aubergine,2806742
1398,North East England,Blueberry yoghurt,2806214
1399,North East England,Slightly salted butter,2805964
1400,North East England,fresh turkey steak,2805784
1401,North East England,denim jacket,2805641
1402,North East England,Soy Milk,2805415
1403,North East England,diced chicken breast,2804222
1404,North East England,Lemon,2803953
1405,North East England,apple macbook air mid 2009,2803538
1406,North East England,dual shock controller,2802864
1407,North East England,unsalted butter,2802457
1408,North East England,jam doughnut,2801543
1409,North East England,pain au raisins,2800359
1410,North East England,minecraft game - xbox,2799645
1411,North East England,British carrots loose,2799573
1412,North East England,custard doughnut,2799515
1413,North East England,fine beans,2799369
1414,North East England,grey blazers,2798160
1415,North East England,linen trousers,2797515
1416,North East England,wristwatch,2796924
1417,North East England,gaming mouse,2796523
1418,North East England,celery,2796382
1419,North East England,chicken sausages,2796299
1420,North East England,dell inspiron laptop,2795885
1421,North East England,Red pepper,2794519
1422,North East England,flapjack,2794319
1423,North East England,free range large eggs x12,2793753
1424,North East England,croisant ,2792086
1425,North East England,vernison sausages,2791688
1426,North East England,gaming keyboard,2791615
1427,North East England,courgette loose,2791373
1428,North East England,cod fillets,2790499
1429,North East England,organic soured cream,2790481
1430,North East England,wellington boots,2789181
1431,North East England,play station 3,2788450
1432,North East England,fresh whole chicken,2788074
1433,North East England,chocolate twist,2787511
1434,North East England,gameboy advance,2786726
1435,North East England,british parsnips loose,2786528
1436,North East England,british bramley cooking apples,2786400
1437,North East England,british fresh turkey mince,2786249
1438,North East England,mature cheddar cheese,2786070
1439,North East England,linen shirt,2785985
1440,North East England,rice,2785425
1441,North East England,grey cardigan,2785332
1442,North East England,classic bowtie,2785160
1443,North East England,pain au chocolate,2784964
1444,North East England,hp dv 2000 laptop,2784866
1445,North East England,Oats Milk,2784430
1446,North East England,mild cheddar cheese,2783289
1447,North East England,skimmed milk,2783119
1448,North East England,Brocolli loose,2782686
1449,North East England,red velvet cake,2782490
1450,North East England,chocolate fudge cake,2782214
1451,North East England,pokemon gold,2782165
1452,North East England,hp dv 3000 laptop,2780575
1453,North East England,british fresh chicken brest fillets,2780412
1454,North East England,raspberries,2780394
1455,North East England,macaron - x3,2780368
1456,North East England,salmon fillets,2779724
1457,North East England,british fresh chicken thigh fillets,2779564
